Unnamed: 0,French,English
0,partie,part
2,chercher,search
3,seulement,only
6,demande,request
7,genre,kind
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
27,aucune,any
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,attention,Warning
34,voici,here is
35,pourrais,could
36,affaire,case
37,donner,give
38,type,type
39,leurs,their
40,donné,given
41,corps,body
42,endroit,place
43,yeux,eyes
44,façon,way
45,écoute,listen
47,trouve,find
48,premier,first
49,perdu,lost
51,première,first
53,pouvoir,power
54,vieux,old
55,sois,be
56,tiens,here
57,matin,morning
59,enfant,child
60,point,point
61,venu,came
62,suite,after
63,pardon,sorry
64,venez,come
65,devant,in front of
66,vers,towards
67,minutes,minutes
68,chambre,bedroom
70,belle,beautiful
71,droit,law
72,aimerais,would like to
73,mari,husband
75,enfin,finally
76,espère,hope
77,attendez,Wait
78,nouvelle,new
79,boulot,job
80,arrêter,Stop
81,dirait,would say
82,compte,account
83,donne,given
84,loin,far
85,fin,end
86,croire,believe
87,chérie,sweetheart
88,gros,large
90,filles,girls
92,bureau,office
